Key,Officer,Received,Completed,Company,Address,PostalCode,City,SHO Decision,Final Decision (Director's Decision),Worker's Stated Safety Concern,Appeal Status,Number of Business Days,Number of Days to Close,Notes,DayOfWeekRCVD,DayOfWeekCompleted,MatchedCompNameCommon,MatchedCompNameLegal,MatchedCompNameAlias,MatchedAddress,MatchedPostalCode,MatchedCity,MatchedProvince,MatchedContact,MatchedCompNameCommon2,MatchedCompNameLegal2,MatchedCompNameAlias2,MatchedAddress2,MatchedPostalCode2,MatchedCity2,MatchedProvince2,MatchedContact2,MatchedCompNameCommon3,MatchedCompNameLegal3,MatchedCompNameAlias3,MatchedAddress3,MatchedPostalCode3,MatchedCity3,MatchedProvince3,MatchedContact3,MatchedCompNameCommon4,MatchedCompNameLegal4,MatchedCompNameAlias4,MatchedAddress4,MatchedPostalCode4,MatchedCity4,MatchedProvince4,MatchedContact4,MatchedCompNameCommon5,MatchedCompNameLegal5,MatchedCompNameAlias5,MatchedAddress5,MatchedPostalCode5,MatchedCity5,MatchedProvince5,MatchedContact5
11,Natalie Oree,2015-02-27,2015-04-10,Avant Dental Care,,,,No DA,No DA,Harassment,,34.0,42,,,,Avant Dental Care,Winnipeg Square Dental Centre,,,,,MB,"Dr. Nathan Jeal / Dr. Vio-Tran Nghyen, Andrea Debiuk - Business Manager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rob Staerk,2015-02-27,2015-03-09,Little Caesar's Pizza,,,,DA,DA,pregnant worker,,6.0,10,,,,Pizza Pizza,,,,,,MB,,Pizza Pizza Ltd,,,58 Advance Road,M8Z 2T7,Etobicoke,ON,Rob Saunders,Little Caesar's Pizza,,,2696 Pembina Hwy,R3T 2H5,Winnipeg,MB,,Little Caesar's,,,302 Saskatchewan Ave,R1N 0K8,Winnipeg,MB,,Little Caesar's Pizza,,,3565 Ness Ave,R2J 1A5,Winnipeg,MB,"Don Carpenter, Manager"
13,Tyler Chivers,2015-03-05,2015-03-11,University of Manitoba,403 Administration Bldg,R3T 2N2,Winnipeg,No DA,No DA,Harassment,,4.0,6,,,,University of Manitoba,,,403 Administration Bldg,R3T 2N2,Winnipeg,MB,Ellen Cianflone (Assistant Manager of the Payroll Dept),University of Manitoba,,,,,,MB,,University of Manitoba Students' Union (UMSU),University of Manitoba Students' Union,,101 Unviversity Centre,R3T 2N2,Winnipeg,MB,Ellen Cianflone,Automotive Dismantlers & Recyclers Of,Manitoba Inc.,,844 Mcleod Ave Suite 1,R2G 2T7,Winnipeg,MB,DVE BLAYDEN,P P Manitoba Inc,,Premium Pork Manitoba Inc,,R0M 0T0,Hamiota,MB,
14,Bill Bage,2015-03-17,2015-03-19,Progressive Machine & Mechanical Service Ltd,617 Washington Ave,R2K 1M4,Winnipeg,DA,DA,Harassment,,2.0,2,,,,Global Mechanical Ltd,Global Mechanical Ltd,Global Refrigeration & Mechanical Inc,43 Burnett Ave N,R2G 1C2,Winnipeg,MB,Malcolm Crooks,Progressive Machine & Mechanical Service Ltd,,,617 Washington Ave,R2K 1M4,Winnipeg,MB,Eric Bielicki,Progressive Machine & Mechanical Service Ltd.,,,617 Washington Ave,R2K 1M4,Winnipeg,MB,Eric Bielicki,R & R Mechanical,,,,R0A 0Y0,Lorette,MB,Justin Habing & Rusty Radley -Owners,A & J Mechanical,,,,,,MB,
15,Kelly Wiebe,2015-03-26,2015-04-10,"The Winning Combination, Inc.",,,,DA,DA,Electrical,,9.0,15,,,,"The Winning Combination, Inc.",,,,,,MB,Callum Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Rob Staerk,2015-03-26,2015-03-27,Sun Chiropractic Centre,,,,No DA,No DA,Harassment,,1.0,1,,,,Sun Chiropractic Centre,,,,,,MB,,Immigrant Centre,,International Centre,100 Adelaide St,R3A 0W2,Winnipeg,MB,Linda Lalonde,,,,,,,,,,,,,,,,,,,,,,,,
17,Tom Levich,2015-03-30,2015-04-20,Benito Foods,,,,No DA,No DA,Elevator,,13.0,21,,,,Benito Service,,,Box 361,R0L 0L0,Benito,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bill Bage,2015-03-31,2015-04-08,Stretcher Service of Manitoba,,,,No DA,No DA,unsafe seats in vehicle,Appeal Withdrawn at MLB,4.0,8,,,,Automotive Dismantlers & Recyclers Of,Manitoba Inc.,,844 Mcleod Ave Suite 1,R2G 2T7,Winnipeg,MB,DVE BLAYDEN,P P Manitoba Inc,,Premium Pork Manitoba Inc,,R0M 0T0,Hamiota,MB,,IKO (Manitoba) Ltd,,,421 Archibald St,R2J 0X2,Winnipeg,MB,Sandy Smith,PTI Manitoba Transformers LP,,PTI Manitoba Inc.,,,,MB,Jason Brown (Manager of Operations) or Janelle Vanbeselaere (Mngmt Co-Chair & HSE Coordinator),TTI Manitoba Inc.,TTI Manitoba Inc.,Pauwels Canada Inc. or CG Power Systems Canada Inc.,101 Rockman St,R3T 0L7,Winnipeg,MB,Denine Rodrigues (S&H Coordinator)
19,Rob Staerk,2015-04-10,2015-04-23,SAM Management Inc.,,,,No DA,No DA,"Various: Elevator Doors, Building Security and Mice","Director, MLB & CA Dismissed Appeal",9.0,13,,,,SAM Management Inc.,,,,,,MB,,S.A.M. (Management) Inc.,,,425 Elgin Ave,,Winnipeg,MB,Kevin Tousignant (Director),S. A. M. (Management) Inc.,S. A. M. (Management) Inc.,,,,,MB,,Akman Management,Akman Management Ltd,,346 Broadway Suite 2 2B,R3C 0T2,Winnipeg,MB,Montana Blunt,ASH Management,A.S.H. Management Group Inc.,,233 Portage Ave Suite 100,R3B 2A7,Winnipeg,MB,Deanna Orlowski
20,Kelly Wiebe,2015-04-20,2015-04-28,Thermal Systems,2780 24th Ave NE,T1Y 6V7,Calgary,No DA,No DA,Roof Work,,6.0,8,,,,X-Terra Geo Thermal Worx,,,,,,MB,Peter Fehr,D B L Thermal Wall Inc,,,99 Scurfield Blvd,R0G 0R0,Winnipeg,MB,,Thermal Energy Structures,,,,,,MB,Hans Reichart (Mngmt),Thermal Systems,332761 Alberta Ltd,,2780 24th Ave NE,T1Y 6V7,Calgary,AB,C R Cross,Geothermal Solutions,,,,,,MB,Lyndon Brown (Mngmt Contact)
21,Natalie Oree,2015-04-21,2015-04-28,"The Winning Combination, Inc.",,,,DA,DA,Electrical,,5.0,7,,,,"The Winning Combination, Inc.",,,,,,MB,Callum Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bill Bage,2015-04-21,2015-04-27,Melet Plastics,Melet Plastics Inc,34 De Baets St,R2J 3S9,Winnipeg,No DA,Harassment,Appeal Withdrawn at MLB,4.0,6,Worker decided to withdraw his DA,,,Melet Plastics Inc,,Ambutech,34 De Baets St,R2J 3S9,Winnipeg,MB,Tracy Williams,PAL Plastics Inc,,PAL Group / PAL DistributorsÂ / FoamPak,1245 Border Ave,R3H 0X9,Winnipeg,MB,Laura Shiloff,PAL Plastics Inc,,PAL Group,1245 Border Ave,R3H 0X9,Winnipeg,MB,Laura Shiloff,,,,,,,,,,,,,,,,
23,Tom Levich,2015-04-30,2015-06-26,McCain Foods,McCain Foods (Canada),,E7L 1B2,,Closed,Electrical,,42.0,57,,,,McCain Foods (Canada),McCain Foods Limited,Midwest Food Products Inc,,R0K 0H0,Carberry,MB,,McCain Foods (Canada),A Division of McCain Foods Limited,,,E7L 1B2,,NB,Duane Dickinson,Canada Bread Company Limited,,Mcgavin Foods Ltd,258 Burnell St,R3G 2A7,Winnipeg,MB,,,,,,,,,,,,,,,,,
24,Tyler Chivers,2015-05-07,2015-05-20,Cityscape Residence,Cityscape Residence,4 Place du Commerce Suite 200,J4W 3B3,,No DA,Harassment,,8.0,13,,,,Cityscape Residence,3746292 Manitoba Ltd,,4 Place du Commerce Suite 200,J4W 3B3,,PQ,Christiano Brodeur,MBS Residence,,,213 St. Mary's Road Suite 9,R2H 1J2,Winnipeg,MB,Angele Michaud,,,,,,,,,,,,,,,,,,,,,,,,
25,Kevin Moncrieffe,2015-05-28,2015-06-01,Global Pet Foods,Global Pet Foods,,,,No DA,Harassment,,2.0,4,,,,Best West Pet Foods Inc,,,1150 St James St,R3H 0K7,Winnipeg,MB,Jamie Hercum (Director of Operations),Best West Pet Foods - Head Office & Warehouse,,,,,,MB,,Best West Pet Foods Inc,,,1619 Henderson Hwy,R2G 1N8,Winnipeg,MB,,Smack Pet Foods,,,,,,MB,,Best West Pet Foods Inc,,,1612 St James St,R3H 0Z1,Winnipeg,MB,
27,Carlos Vicente,2015-06-02,2015-06-05,Consbec Inc.,Consbec Inc.,2725 Belisle Drive,P3N 1B3,Val Caron,Closed,Confined Space,,4.0,3,,,,Consbec Inc.,,,2725 Belisle Drive,P3N 1B3,Val Caron,ON,"Stuart Mitchell - manager, Central & Western DivisionsTim Denomme - site supervisor and blaster",Congebec,,Westco Storage Ltd or Congebec Inc,1555 Chevrier Blvd,R3T 1Y7,Winnipeg,MB,Brent Rempel (Operations Manager),,,,,,,,,,,,,,,,,,,,,,,,
26,Dan Steppan,2015-06-02,2015-06-10,HudBay Minerals,Hudbay Minerals Inc.,Box 1600,P4N 7W7,Timmins,No DA,Harassment,,6.0,8,,,,Hudbay Minerals Inc.,Hudbay Minerals Inc.,,Box 1600,P4N 7W7,Timmins,ON,Andre Lauzon VP,R.K.'s Contracting - Hudbay minerals Ltd,,,,,,MB,,Hudbay Minerals Inc.,Hudbay Minerals Inc.,,Box 1600,P4N 7W7,Timmins,ON,Andre Lauzon VP,Hudbay Minerals Inc.,Hudbay Minerals Inc.,,Box 1600,P4N 7W7,Timmins,ON,Andre Lauzon VP,,,,,,,,
28,Tom Levich,2015-06-08,2015-06-25,BBE Hydro (Inkster),,,,No DA,No DA,unsafe blasting,MLB Dismissed Appeal: BBE Met Onus that Suspension Not Influenced by Safety Concerns,13.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Tom Levich,2015-06-22,2015-07-23,Superb Construction Group Ltd,200 Caron Road,R4H 1B4,Headingley,No DA,No DA,Unsafe Excavation,,22.0,31,,,,AB Construction,,,,R0J 0N0,Elphinstone,MB,Barry Tocher,Superb Construction Group Ltd,Superb Construction Group Ltd,Superb Directional Boring or Superb Sprinkler System,200 Cairon Road,R4H 1B4,Headingley,MB,Brent Cornell (President),C.S.A. Construction,,,SE 6 12 13,,Austin,MB,Steven Penner,D-Co Construction,,,,,,MB,,D-Co Construction,,,,,,MB,
30,Michael Boileau,2015-06-22,2015-07-23,Superb Construction Group Ltd,200 Caron Road,R4H 1B4,Headingley,No DA,No DA,Unsafe Excavation,,22.0,31,,,,AB Construction,,,,R0J 0N0,Elphinstone,MB,Barry Tocher,Superb Construction Group Ltd,Superb Construction Group Ltd,Superb Directional Boring or Superb Sprinkler System,200 Cairon Road,R4H 1B4,Headingley,MB,Brent Cornell (President),C.S.A. Construction,,,SE 6 12 13,,Austin,MB,Steven Penner,D-Co Construction,,,,,,MB,,D-Co Construction,,,,,,MB,
31,Kelly Wiebe,2015-06-25,2015-07-20,Canada Drugs.com - Thorkelson Consulting Ltd.,16 Terracon Place,R2J 4G7,Winnipeg,Closed,Closed,Harassment,,18.0,25,,,,Louisiana Pacific Canada Ltd,,LP Canada Ltd,SE 16-36-25 W,,Minitonas,MB,Shelby Robb,Canada Drugs.com - Thorkelson Consulting Ltd.,Thorkelson Consulting Ltd.,,16 Terracon Place,R2J 4G7,Winnipeg,MB,Evelyn Mayor,Canada Drugs.com - Customer Care,5177007 Manitoba Ltd,Canada Drugs,24 Terracon Place,R2J 4G7,Winnipeg,MB,Evelyn Mayor,Canada Drugs.com (LP),Canada Drugs.com (LP),,10 Terracon Place,R2J 4G7,Winnipeg,MB,Evelyn Mayor,SLR Consulting (Canada) Ltd,SLR Consulting (Canada) Ltd,,,,,MB,
32,Bill Bage,2015-07-15,2015-07-23,City of Steinbach,225 Reimer Ave,R5G 2J1,Steinbach,DA,DA,Committee Duties,DA Complaint and Appeal Withdrawn; Parties Settled (included for statistical purposes),6.0,8,,,,City of Steinbach,,,225 Reimer Ave,R5G 2J1,Steinbach,MB,Don Smith (S&H Officer/Fire Chief),Haven Group,Rest Haven Nursing Home Of Steinbach Inc,,185 Woodhaven Ave,R5G 1K7,Steinbach,MB,Emily Lessard,Eastman Employment Services - envision Community Living,Association of Community Living - Steinbach Branch Inc.,,84 Brandt St,R5G 0E8,Steinbach,MB,Barb Dyck,Steinbach Security Services Inc,,,Penner International Trucking Yard Loewen Blvd,R0A 0C0,Steinbach,MB,Brian J Brunelle; President,Steinbach Security Services Inc,,,Penner International Trucking Yard Loewen Blvd,R0A 0C0,Steinbach,MB,Brian J Brunelle; President
33,Bill Bage,2015-07-16,2016-08-16,Epic Opportunities Inc,1644 Dublin Ave,R3H 0X5,Winnipeg,No DA,No DA,Committee Duties,,22.0,397,,,,Epic Opportunities Inc,,"Epic Opportunities,Hope Centre Inc",1644 Dublin Ave,R3H 0X5,Winnipeg,MB,Jeannette Delong,Green Opportunities Inc,,,,,,MB,,W.A.S.O. Inc.,Work and Social Opportunities Inc,,836 Mcleod Ave Suite 3,R2G 3P3,Winnipeg,MB,Kim McIntyre-Leighton,Manitoba Children and Youth Opportunities,Manitoba Children and Youth Opportunities,,450 Broadway Suite 314,,Winnipeg,MB,,Equal Opportunities West Inc.,,Sjai Employment Services,,,,MB,
34,Carlos Vicente,2015-07-20,2015-07-21,Rebirth Automotive Detailing,,,,Closed,Closed,Electrical Cords & Respirators,,2.0,1,,,,CM Automotive,,,,,,MB,,RDF Automotive,RDF Enterprises Inc,,548 Salter St,R2W 4M7,Winnipeg,MB,Daryl,KMC Automotive,,,,,,MB,,Tony & Joe's Auto Service,J R Automotive Ltd,,1871 Pembina Hwy Suite 1,R3T 2G7,Winnipeg,MB,Adrianna Anania,AMP Industries Inc.,AMP Industries Inc.,AMP Industries Automotive Service,,,,MB,
35,Dan Steppan,2015-07-23,2015-08-12,Walden Electric,,,,Closed,Closed,Harassment,,15.0,20,,,,Walden Group,,,,,,MB,,Global Electric Ltd,,,1399 Dugald Road,R2J 0B3,Winnipeg,MB,Aime Buisse,Jamieson Judd Ltd,,J J Electric Limited,102 Industrial Drive,R7A 7S5,Brandon,MB,,Advent Electric,,,1163 Sherburn St,R3E 2N3,Winnipeg,MB,,LD Electric Ltd,Lighting Dynamics,Lighting Dynamics,771 Moncton Ave,R2K 1Y5,Winnipeg,MB,"Dan Martin, Nolan Still or Joanne King (Safety)"
36,Carlos Vicente,2015-07-24,2015-08-17,Mid Canada Millwork Ltd,78 PTH 52 W,R5G 1X8,Steinbach,No DA,No DA,Joke About Calling WSH,,15.0,24,,,,Louisiana Pacific Canada Ltd,,LP Canada Ltd,SE 16-36-25 W,,Minitonas,MB,Shelby Robb,Mid Canada Millwork Ltd,,,78 PTH 52 W,R5G 1X8,Steinbach,MB,Sincy Outhaivong,RB Millwork Ltd,RB Millwork Ltd,Rosebank Colony,,,,MB,Michael Maendel (Manager),RX-Canada,,RX-CANADA,1369 Erin Suite 2,R3E 2S7,Winnipeg,MB,,Capote Productions (Manitoba) Inc,EP Canada Inc,,351 Bewicke Ave,V7M 3E9,North Vancouver,BC,Ms. Pushpa Chopra
37,Rob Staerk,2015-08-26,2015-09-15,L Chabot Enterprises Ltd.,25002 Hazelridge Road,,Oak Bank,No DA,No DA,Harassment,Appealed - Director Confirmed No DA,13.0,20,,,,L Chabot Enterprises Ltd.,L Chabot Enterprises Ltd.,,25002 Hazelridge Road,,Oak Bank,MB,Fernard Chabot,Chabot Implements Co. Ltd.,,,2610 Saskatchewan Ave W,R1N 3J9,Portage La Prairie,MB,"Nancy Neufeld, Service Manager",Rocky Mountain Equipment,,Chabot Implements Co. Ltd.,,,,MB,,,,,,,,,,,,,,,,,
38,Tyler Chivers,2015-08-26,2015-09-14,Bethesda Hospital Southern Health,,,,No DA,No DA,Ergonomics,,12.0,19,,,,REP4 Technologies,,IT Health Services,217 Clandeboye Ave,R1A 0X2,Selkirk,MB,Eddie Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Michael Boileau,2015-09-03,2015-09-17,Gravier Collet Gravel,Gravier Collet Gravel Inc,,R0G 1M0,Notre Dame De Lourde,No DA,Working with Truck Tires,,9.0,14,,,,Gravier Collet Gravel Inc,,Collet Gravel Inc,,R0G 1M0,Notre Dame De Lourde,MB,Gilles Collet,Mr. Gravel Inc,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,
40,Kelly Wiebe,2015-09-08,2015-09-25,James Minsky Trucking,James Minsky Trucking,370 Transport Road,,Winnipeg,No DA,Dump Truck,Both Eee and Eer Appealed to Director and MLB: Director Found DA; MLB Found No DA As Employer Met Onus,13.0,17,,,,James Minsky Trucking,,,370 Transport Road,,Winnipeg,MB,Virginia Minsky,A. H. Trucking Ltd.,,Rolly's Transfer,1619 St Anne's Road,R2M 3G6,Winnipeg,MB,Ron Hope,A F Trucking Ltd,,,,R2C 2Z9,Winnipeg,MB,,Tec Trucking Services,,,,,,MB,,Taz Trucking,,,,,,MB,
41,Kevin Moncrieffe,2015-09-30,2015-10-05,Montana's Cookhouse Saloon,Montana's Cookhouse Saloon,665 Empress St,R3G 3P7,Winnipeg,No DA,Harassment,Appealed to Director ,3.0,5,,,,Montana's Cookhouse,,,823 18th St N,R7A 7S1,Brandon,MB,,Montana's Cookhouse Saloon,,,665 Empress St,R3G 3P7,Winnipeg,MB,Garry Humes,,,,,,,,,,,,,,,,,,,,,,,,
42,Carlos Vicente,2015-10-06,2015-11-05,Convey-All Industries Inc.,Convey-All Industries Inc,130 Canada St,,Winkler,No DA,"crane, ventilation, wiring, etc.",,21.0,30,,,,Convey-All Industries Inc,Convey-All Industries Inc,Westman Group WL (Meridian),130 Canada St,,Winkler,MB,James H. Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Dave Parr,2015-10-07,2015-10-16,Koch Fertilizer,Koch Fertilizer Canada Ltd,1400 17th St E,R7A 7C4,Brandon,No DA,worker co-chair duties,,6.0,9,,,,Koch Fertilizer Canada Ltd,,Simplot Canada Limited,1400 17th St E,R7A 7C4,Brandon,MB,Tom Hutcheson,Turko Fertilizer,,,East St,R0J 1B0,Mccreary,MB,,Rancan Fertilizer Systems Inc,,,1661 Dugald Road,R2J 0H3,Winnipeg,MB,Gary Tyhy,Minic Industries Ltd,Rancan Fertilizer Systems,,1179 Kapelus Drive,R4A 5A8,West St Paul,MB,David Wallwin,Green's Fertilizer Services,2711591 Manitoba Ltd.,,McDonald Ave Suite 2802,,Brandon,MB,Caroline green
44,Tyler Chivers,2015-10-14,2015-10-15,Rondor Excavations,Rondor Excavations,956 Redonda Cres,R3V 1E1,Winnipeg,No DA,Harassment,,1.0,1,,,,Rondor Excavations,,,956 Redonda Cres,R3V 1E1,Winnipeg,MB,Ryan Punton,Tundra Excavations Ltd,,,135 Gunn,R0G 2A0,St Germain,MB,Curt Kastas,Turner Excavation Ltd,,,1437 2nd St,R7A 3B4,Brandon,MB,Ken Turner,Ontrak Excavation Service,,,,,,MB,Phil Sarna (Owner),,,,,,,,
45,Dave Parr,2015-10-22,2015-10-30,Virden Meter Services,Virden Meter Services Ltd,,,,No DA,Harassment,,6.0,8,,,,Virden Meter Services Ltd,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Michael Boileau,2015-10-23,2015-10-30,West Bend Mechanical,,,,No DA,No DA,lighting,,5.0,7,,,,Global Mechanical Ltd,Global Mechanical Ltd,Global Refrigeration & Mechanical Inc,43 Burnett Ave N,R2G 1C2,Winnipeg,MB,Malcolm Crooks,PD Mechanical Ltd,,,,,,MB,,CF Mechanical,CF Mechanical,,,,,MB,,Midwest Mechanical Service Ltd,,,1369 Erin St,R3E 2S7,Winnipeg,MB,Brian Kletke,Wes-Man Mechanical,2692784 Manitoba Limited,,927 Dugald Road,R2J 0G7,Winnipeg,MB,Marc Phaneuf
47,Kelly Wiebe,2015-11-02,2015-11-05,Simply Connected Ltd.,South East Drive Suite 38,R0E 1S0,Richer,No DA,No DA,fall protection,,3.0,3,,,,Simply Connected Ltd.,,,South East Drive Suite 38,R0E 1S0,Richer,MB,Dan Gurtre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dan Steppan,2015-11-04,2015-12-03,Canadian Tire,131 PTH 12 N,R5G 1T5,Steinbach,DA,DA,PPE,,20.0,29,,,,Canadian Tire,H.J. Nurkkala Investments (Canada) Inc.,W.A. Hutchison Ltd,131 PTH 12 N,R5G 1T5,Steinbach,MB,Pauline Lambert,Canadian Tire,Rezansoff Enterprises Limited,,3615 Portage Ave,R3K 2G6,Winnipeg,MB,Lisa Matthews,Canadian Tire,Unilowsky Holdings Inc.,,131 PTH 12 N,R5G 1T5,Steinbach,MB,Pauline Lambert,Canadian Tire,Bortolussi Enterprises Ltd.,"Brad Borland Enterprises,W.A. Hutchison Ltd",1500 Main St S,,Dauphin,MB,Stefan Bortolussi (owner),Canadian Tire,HJ Nurkkala Investments (Canada) Inc,WA Hutchison Ltd,131 PTH 12 N,R5G 1T5,Steinbach,MB,
